time,lat_90_60,lat_60_30,lat_30_0,lat_0_-30,lat_-30_-60,lat_-60_-90
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1874,,,,,,
1875,,,,,,327.0640195
1876,,,,,,327.077566
1877,,,,,,327.2169883
1878,,,,,,327.2563128
1879,,,,,,327.2182618
1880,,,,,,327.2621453
1881,,,,,,327.0827518
1882,,,,,,326.9917673
1883,,,,,,327.0817098
1884,,,,,,327.2840258
1885,,,,,,327.4315418
1886,,,,,,327.4025648
1887,,,,,,327.6160415
1888,,,,,,327.6510105
1889,,,,,,328.039555
1890,,,,,,328.3431233
1891,,,,,,328.7525388
1892,,,,,,329.0898723
1893,,,,,,329.508437
1894,,,,,,329.7475305
1895,,,,,,330.2548143
1896,,,,,,330.7381143
1897,,,,,,330.9451235
1898,,,,,,331.118668
1899,,,,,,331.5910785
1900,,,,,,332.046724
1901,,,,,,332.6015458
1902,,,,,,333.3023893
1903,,,,,,334.2587865
1904,,,,,,335.1484445
1905,,,,,,335.5320285
1906,,,,,,335.8937053
1907,,,,,,336.9784553
1908,,,,,,337.7672305
1909,,,,,,338.508396
1910,,,,,,339.3963163
1911,,,,,,340.452667
1912,,,,,,341.4140265
1913,,,,,,342.239489
1914,,,,,,343.2227273
1915,,,,,,344.2637505
1916,,,,,,345.3656065
1917,,,,,,346.5493525
1918,,,,,,347.8035775
1919,,,,,,348.8148278
1920,,,,,,350.216108
1921,,,,,,351.4437338
1922,,,,,,352.7921378
1923,,,,,,354.3550415
1924,,,,,,355.8912495
1925,,,,,,357.1972375
1926,,,,,,358.609056
1927,,,,,,360.0202468
1928,,,,,,361.6532075
1929,,,,,,363.2047175
1930,,,,,,364.6846478
1931,,,,,,366.1267915
1932,,,,,,368.0539783
1933,,,,,,369.5840573
1934,,,,,,371.251078
1935,,,,,,373.0747898
1936,,,,,,374.9549363
1937,,,,,,376.5498615
1938,,,,,,378.2772763
1939,,,,,,380.109156
1940,,,,,,381.9660525
1941,,,,,,383.5857135
1942,,,,,,385.449621
1943,,,,,,387.533422
1944,,,,,,389.6534528
1945,,,,,,391.4257245
1946,,,,,,393.3168128
1947,,,,,,395.21604
1948,,,,,,397.178509
1949,,,,,,399.1690628
1950,390.9352215,,,,,401.5178863
1951,392.4042183,,,,,403.192444
1952,394.7124913,,,,,404.9045263
1953,397.2189533,,,,,406.6532938
1954,399.7910148,,,,,408.2902045
1955,402.4247648,,,,,410.0251173
1956,404.9814835,,,,,411.3388123
1957,408.0661663,,,,,412.8649068
1958,411.4370848,,,,,414.5060368
1959,414.6101498,,,,,416.00508
1960,418.0887835,,,,,417.5363673
1961,421.886749,,,,,419.2572983
1962,425.6982175,,,,,421.2040178
1963,429.4684693,,,,,422.814378
1964,434.3717303,,,,,424.5512893
1965,439.0033995,,,,,426.4705575
1966,443.7821438,,,,,428.1293295
1967,449.0412348,,,,,430.400778
1968,454.6405358,,,,,432.5400233
1969,460.2200298,,,,,435.2435548
1970,466.0721793,,,,,438.0158775
1971,472.0035983,,,,,440.7721775
1972,477.871698,,,,,443.2331808
1973,483.668717,,,,,446.2166928
1974,489.2284935,,,,,449.0410615
1975,494.7019198,,,,,452.2691183
1976,500.3845343,,,,,455.9913975
1977,505.2258275,,,,,459.5785458
1978,510.4029663,,,,,463.0806415
1979,514.4015188,,,,,467.1000653
1980,518.20354,,,,,471.4431373
1981,521.667144,,,,,475.7959755
1982,524.6811095,,,,,480.3698788
1983,527.258649,,,,,485.215411
1984,528.6904563,,,,,490.0338758
1985,529.5919628,,,,,495.2042275
1986,530.2499373,,,,,500.5642448
1987,530.3895473,,,,,506.3878715
1988,529.3910935,,,,,511.975404
1989,528.5820298,,,,,517.3859435
1990,527.7484623,,,,,523.1342605
1991,527.4849885,,,,,528.5764188
1992,526.728687,,,,,533.8714585
1993,526.057711,,,,,538.8931848
1994,526.1667808,,,,,543.4774035
1995,526.5403525,,,,,546.4517555
1996,527.0208783,,,,,548.1576455
1997,527.6347638,,,,,548.3632273
1998,527.909141,,,,,546.8785513
1999,528.1451375,,,,,544.5079408
2000,527.747,,,,,544.34826
2001,527.3245073,,,,,544.9821498
2002,526.1471423,,,,,546.5646245
2003,523.9231688,,,,,550.5808273
2004,521.304208,,,,,550.9117295
2005,518.5653413,,,,,
2006,516.8315375,,,,,
2007,516.178131,,,,,
2008,518.0118388,,,,,
2009,519.5071248,,,,,
2010,519.4222118,,,,,
2011,517.4446613,,,,,
2012,514.9914523,,,,,
2013,514.377852,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
